gene_id,gene_name,log2FC_3mo,log2FC_18mo,qvalue_18mo,sig_at_18mo,direction_18mo
ENSDARG00000045515,kin,0.4124,-0.7145,0.010733,False,not_significant
ENSDARG00000045516,itih2,-0.087,-3.0645,0.03591,True,down_in_MUT
ENSDARG00000045517,itih5,-0.5747,1.3348,0.000531,True,up_in_MUT
ENSDARG00000045518,tmem110l,0.2578,-0.6178,0.158216,False,not_significant
ENSDARG00000045519,sfmbt2,-0.1279,0.4365,0.148841,False,not_significant
ENSDARG00000034173,prkcq,-0.1411,1.1361,5.6e-05,True,up_in_MUT
ENSDARG00000001953,pfkfb3,-0.1733,1.45,0.000423,True,up_in_MUT
ENSDARG00000031346,rbm17,-0.2248,-0.155,0.326176,False,not_significant
ENSDARG00000045522,acot15,1.1719,3.3285,,False,not_significant
ENSDARG00000069292,acot16,0.6664,0.5709,0.288582,False,not_significant
ENSDARG00000088524,acot17,1.9544,1.9081,0.045022,True,up_in_MUT
ENSDARG00000033413,acot18,0.3808,0.6901,0.082237,False,not_significant
ENSDARG00000045524,lamb1b,-0.1134,1.0855,0.002446,True,up_in_MUT
ENSDARG00000045525,tmcc3,0.3529,0.2002,0.314201,False,not_significant
ENSDARG00000045528,fgd6,0.1406,-0.7143,0.113477,False,not_significant
ENSDARG00000075215,vezt,0.1215,-0.0787,0.370855,False,not_significant
ENSDARG00000069261,metap2a,0.1796,1.1462,0.040564,True,up_in_MUT
ENSDARG00000089861,usp44,0.616,-1.2978,0.000532,True,down_in_MUT
